CHFS,1090294.41
CSSEN,3146.948717948718
CSSEP,1089.43
PLCE,126089.02
CMRX,56306.4
CAAS,11197.33
CCRC,800.0294117647059
JRJC,16927.5
HGSH,54768.61
CIH,9175.96
CJJD,53568.7
SXTC,173878.53
CXDC,11983.77
PLIN,32805.87
CNET,85397.05
IMOS,1814.75
CHPMU,17337.222222222223
CHPMW,8034.114285714286
CDXC,28147.91
CHSCL,9552.51
CHSCM,2936.51
CHSCP,1660.43
CHDN,31405.22
CHUY,17805.31
CDTX,24635.43
CIIC,16762.69387755102
CMCT,2458.0
CMCTP,155.5
CMPR,26172.51
CNNB,1191.1290322580646
CINF,123428.52
CRUS,55604.96
CSCO,892925.23
CTRN,22100.82
CTXR,125544.72
CTXRW,1944.4615384615386
CIZN,1240.5393258426966
CTXS,215866.05
CHCO,5932.45
CIVB,6553.04
CLAR,16908.81
CACG,1558.26
YLDE,586.9411764705883
LRGE,2268.15
CLFD,12996.28
CLRO,10944.84
CLPT,10394.19
CBLI,23406.43
CLVS,289990.32
CLPS,13572.53
CME,162423.45
CCNE,4874.9
COKE,3527.84
COCP,112831.21
CODA,15670.94
CCNC,2807.6376811594205
CDXS,21591.4
JVA,3226.33
CCOI,23967.49
CGNX,94133.28
CTSH,302737.24
CWBR,17567.19
COHU,29513.2
CGRO,11661.016393442624
CGROU,3829.896551724138
CGROW,6462.428571428572
CLCT,9282.82
CBAN,2204.58
HHT,149647.38
COLB,36640.31
CLBK,12288.75
COLM,36230.98
CBSH,54348.03
CBSHP,980.1666666666666
CVGI,28065.51
COMM,348353.34
JCS,1848.52
CTBI,4692.65
CWBC,5386.818181818182
CVLT,41802.53
CGEN,118357.2
CPSI,6983.49
CHCI,6663.88
CMTL,23450.67
CNCE,14598.97
BBCP,9937.16
CDOR,2160.69
CNFR,2609.095238095238
CNFRL,521.7368421052631
CNMD,35542.15
CNOB,12686.75
CONN,31430.86
CNST,55571.77
ROAD,19567.36
CPSS,3577.53
CFRX,31200.72
CPAAU,6302.538461538462
CPAAW,5156.172839506173
CPRT,131982.85
CRBP,142580.41
CORT,77309.05
CORE,15295.16
CLDB,367.1190476190476
CRVL,4274.97
CRVS,57497.23
CSGP,40242.04
COST,121639.96
COUP,105898.48
CVLG,23301.09
CVET,97576.2
